Protein,Protein ID,Control,Treatment,Difference
sp|Q9H6K4|OPA3_HUMAN,Q9H6K4,0,2,2
sp|Q9Y3D3|RT16_HUMAN,Q9Y3D3,0,2,2
sp|P13051|UNG_HUMAN,P13051,0,2,2
sp|Q96E11|RRFM_HUMAN,Q96E11,0,2,2
sp|Q9H267|VP33B_HUMAN,Q9H267,0,2,2
sp|Q9H4L4|SENP3_HUMAN,Q9H4L4,0,2,2
sp|Q9Y679|AUP1_HUMAN,Q9Y679,0,2,2
sp|O95671|ASML_HUMAN,O95671,0,2,2
sp|Q15050|RRS1_HUMAN,Q15050,0,2,2
sp|Q86VM9|ZCH18_HUMAN,Q86VM9,0,2,2
sp|Q9BQA9|CYBC1_HUMAN,Q9BQA9,0,2,2
sp|Q8NCN5|PDPR_HUMAN,Q8NCN5,0,2,2
sp|P51003|PAPOA_HUMAN,P51003,0,2,2
sp|Q16540|RM23_HUMAN,Q16540,0,2,2
sp|Q9HBI6|CP4FB_HUMAN,Q9HBI6,0,2,2
sp|Q9Y3Q3|TMED3_HUMAN,Q9Y3Q3,0,2,2
sp|O95239|KIF4A_HUMAN,O95239,0,2,2
sp|Q9UHI6|DDX20_HUMAN,Q9UHI6,0,2,2
sp|P13688|CEAM1_HUMAN,P13688,0,2,2
sp|O60783|RT14_HUMAN,O60783,0,2,2
sp|Q9BRT6|LLPH_HUMAN,Q9BRT6,0,2,2
sp|Q96HU8|DIRA2_HUMAN,Q96HU8,0,2,2
sp|Q4G0N4|NAKD2_HUMAN,Q4G0N4,0,2,2
sp|O43768|ENSA_HUMAN,O43768,0,2,2
sp|Q9HCJ5|ZSWM6_HUMAN,Q9HCJ5,0,2,2
sp|P28325|CYTD_HUMAN,P28325,0,2,2
sp|Q9NQX4|MYO5C_HUMAN,Q9NQX4,0,2,2
sp|Q5SXM8|DNLZ_HUMAN,Q5SXM8,0,2,2
sp|Q13033|STRN3_HUMAN,Q13033,0,2,2
sp|A0A0B4J2D5|GAL3B_HUMAN,A0A0B4J2D5,4,5,1
sp|A5YKK6|CNOT1_HUMAN,A5YKK6,7,8,1
sp|O00291|HIP1_HUMAN,O00291,5,6,1
sp|O00461|GOLI4_HUMAN,O00461,6,7,1
sp|O00483|NDUA4_HUMAN,O00483,4,5,1
sp|O00743|PPP6_HUMAN,O00743,2,3,1
sp|O14521|DHSD_HUMAN,O14521,2,3,1
sp|O14579|COPE_HUMAN,O14579,8,9,1
sp|O14980|XPO1_HUMAN,O14980,14,15,1
sp|O15439|MRP4_HUMAN,O15439,3,4,1
sp|O43491|E41L2_HUMAN,O43491,3,4,1
sp|O43570|CAH12_HUMAN,O43570,9,10,1
sp|O43674|NDUB5_HUMAN,O43674,2,3,1
sp|O43684|BUB3_HUMAN,O43684,8,9,1
sp|O75390|CISY_HUMAN,O75390,18,19,1
sp|O75396|SC22B_HUMAN,O75396,5,6,1
sp|O75436|VP26A_HUMAN,O75436,4,5,1
sp|O75608|LYPA1_HUMAN,O75608,5,6,1
sp|O76071|CIAO1_HUMAN,O76071,3,4,1
sp|O95292|VAPB_HUMAN,O95292,2,3,1
sp|O95881|TXD12_HUMAN,O95881,4,5,1
sp|P00167|CYB5_HUMAN,P00167,8,9,1
sp|P04062|GBA1_HUMAN,P04062,3,4,1
sp|P07305|H10_HUMAN,P07305,6,7,1
sp|P07686|HEXB_HUMAN,P07686,13,14,1
sp|P10155|RO60_HUMAN,P10155,3,4,1
sp|P10909|CLUS_HUMAN,P10909,6,7,1
sp|P11169|GTR3_HUMAN,P11169,4,5,1
sp|P11177|ODPB_HUMAN,P11177,12,13,1
sp|P13804|ETFA_HUMAN,P13804,20,21,1
sp|P16070|CD44_HUMAN,P16070,18,19,1
sp|P22087|FBRL_HUMAN,P22087,16,17,1
sp|P22307|SCP2_HUMAN,P22307,20,21,1
sp|P27694|RFA1_HUMAN,P27694,4,5,1
sp|P30040|ERP29_HUMAN,P30040,17,18,1
sp|P30084|ECHM_HUMAN,P30084,16,17,1
sp|P30740|ILEU_HUMAN,P30740,11,12,1
sp|P32321|DCTD_HUMAN,P32321,3,4,1
sp|P32322|P5CR1_HUMAN,P32322,10,11,1
sp|P35222|CTNB1_HUMAN,P35222,13,14,1
sp|P35268|RL22_HUMAN,P35268,7,8,1
sp|P35658|NU214_HUMAN,P35658,4,5,1
sp|P35914|HMGCL_HUMAN,P35914,3,4,1
sp|P40261|NNMT_HUMAN,P40261,4,5,1
sp|P40616|ARL1_HUMAN,P40616,2,3,1
sp|P42765|THIM_HUMAN,P42765,24,25,1
sp|P43897|EFTS_HUMAN,P43897,3,4,1
sp|P47985|UCRI_HUMAN,P47985,7,8,1
sp|P47989|XDH_HUMAN,P47989,3,4,1
sp|P49257|LMAN1_HUMAN,P49257,8,9,1
sp|P49406|RM19_HUMAN,P49406,4,5,1
sp|P49736|MCM2_HUMAN,P49736,7,8,1
sp|P49959|MRE11_HUMAN,P49959,3,4,1
sp|P50990|TCPQ_HUMAN,P50990,35,36,1
sp|P51659|DHB4_HUMAN,P51659,21,22,1
sp|P51858|HDGF_HUMAN,P51858,15,16,1
sp|P52815|RM12_HUMAN,P52815,5,6,1
sp|P53004|BIEA_HUMAN,P53004,7,8,1
sp|P54136|SYRC_HUMAN,P54136,21,22,1
sp|P54289|CA2D1_HUMAN,P54289,2,3,1
sp|P55209|NP1L1_HUMAN,P55209,10,11,1
sp|P55735|SEC13_HUMAN,P55735,5,6,1
sp|P56385|ATP5I_HUMAN,P56385,6,7,1
sp|P56556|NDUA6_HUMAN,P56556,3,4,1
sp|P60866|RS20_HUMAN,P60866,9,10,1
sp|P60903|S10AA_HUMAN,P60903,21,22,1
sp|P61020|RAB5B_HUMAN,P61020,2,3,1
sp|P62136|PP1A_HUMAN,P62136,4,5,1
sp|P62820|RAB1A_HUMAN,P62820,11,12,1
sp|P62829|RL23_HUMAN,P62829,10,11,1
sp|P62847|RS24_HUMAN,P62847,6,7,1
sp|P63000|RAC1_HUMAN,P63000,15,16,1
sp|P63165|SUMO1_HUMAN,P63165,2,3,1
sp|P67812|SC11A_HUMAN,P67812,4,5,1
sp|P68400|CSK21_HUMAN,P68400,8,9,1
sp|P82663|RT25_HUMAN,P82663,5,6,1
sp|Q00325|MPCP_HUMAN,Q00325,16,17,1
sp|Q03169|TNAP2_HUMAN,Q03169,6,7,1
sp|Q04941|PLP2_HUMAN,Q04941,2,3,1
sp|Q06203|PUR1_HUMAN,Q06203,3,4,1
sp|Q10713|MPPA_HUMAN,Q10713,3,4,1
sp|Q12913|PTPRJ_HUMAN,Q12913,2,3,1
sp|Q13011|ECH1_HUMAN,Q13011,22,23,1
sp|Q13148|TADBP_HUMAN,Q13148,6,7,1
sp|Q13404|UB2V1_HUMAN,Q13404,3,4,1
sp|Q13868|EXOS2_HUMAN,Q13868,2,3,1
sp|Q14160|SCRIB_HUMAN,Q14160,5,6,1
sp|Q14165|MLEC_HUMAN,Q14165,6,7,1
sp|Q14240|IF4A2_HUMAN,Q14240,1,2,1
sp|Q14696|MESD_HUMAN,Q14696,7,8,1
sp|Q15008|PSMD6_HUMAN,Q15008,14,15,1
sp|Q15021|CND1_HUMAN,Q15021,8,9,1
sp|Q15363|TMED2_HUMAN,Q15363,2,3,1
sp|Q53GQ0|DHB12_HUMAN,Q53GQ0,14,15,1
sp|Q5JRA6|TGO1_HUMAN,Q5JRA6,2,3,1
sp|Q6P1J9|CDC73_HUMAN,Q6P1J9,3,4,1
sp|Q6P2E9|EDC4_HUMAN,Q6P2E9,3,4,1
sp|Q6PI78|TMM65_HUMAN,Q6PI78,2,3,1
sp|Q6ZMP0|THSD4_HUMAN,Q6ZMP0,3,4,1
sp|Q7KZF4|SND1_HUMAN,Q7KZF4,23,24,1
sp|Q86XZ4|SPAS2_HUMAN,Q86XZ4,2,3,1
sp|Q8N2K0|ABD12_HUMAN,Q8N2K0,3,4,1
sp|Q8N4H5|TOM5_HUMAN,Q8N4H5,5,6,1
sp|Q8NBF2|NHLC2_HUMAN,Q8NBF2,2,3,1
sp|Q8TCT9|HM13_HUMAN,Q8TCT9,5,6,1
sp|Q92900|RENT1_HUMAN,Q92900,10,11,1
sp|Q96AG4|LRC59_HUMAN,Q96AG4,15,16,1
sp|Q96CW1|AP2M1_HUMAN,Q96CW1,6,7,1
sp|Q96D53|COQ8B_HUMAN,Q96D53,3,4,1
sp|Q99442|SEC62_HUMAN,Q99442,3,4,1
sp|Q99470|SDF2_HUMAN,Q99470,3,4,1
sp|Q99627|CSN8_HUMAN,Q99627,2,3,1
sp|Q99714|HCD2_HUMAN,Q99714,16,17,1
sp|Q9BRX8|PXL2A_HUMAN,Q9BRX8,6,7,1
sp|Q9BX68|HINT2_HUMAN,Q9BX68,7,8,1
sp|Q9BYD1|RM13_HUMAN,Q9BYD1,6,7,1
sp|Q9GZT3|SLIRP_HUMAN,Q9GZT3,10,11,1
sp|Q9H0H5|RGAP1_HUMAN,Q9H0H5,7,8,1
sp|Q9H0U4|RAB1B_HUMAN,Q9H0U4,3,4,1
sp|Q9H0U6|RM18_HUMAN,Q9H0U6,2,3,1
sp|Q9H2W6|RM46_HUMAN,Q9H2W6,3,4,1
sp|Q9H4G0|E41L1_HUMAN,Q9H4G0,9,10,1
sp|Q9H4M9|EHD1_HUMAN,Q9H4M9,13,14,1
sp|Q9H5Q4|TFB2M_HUMAN,Q9H5Q4,3,4,1
sp|Q9HA64|KT3K_HUMAN,Q9HA64,3,4,1
sp|Q9HD33|RM47_HUMAN,Q9HD33,2,3,1
sp|Q9NR28|DBLOH_HUMAN,Q9NR28,8,9,1
sp|Q9NSD9|SYFB_HUMAN,Q9NSD9,11,12,1
sp|Q9NUJ3|T11L1_HUMAN,Q9NUJ3,2,3,1
sp|Q9NVJ2|ARL8B_HUMAN,Q9NVJ2,4,5,1
sp|Q9NY12|GAR1_HUMAN,Q9NY12,2,3,1
sp|Q9NZ45|CISD1_HUMAN,Q9NZ45,3,4,1
sp|Q9P0I2|EMC3_HUMAN,Q9P0I2,5,6,1
sp|Q9UBS4|DJB11_HUMAN,Q9UBS4,4,5,1
sp|Q9UHG3|PCYOX_HUMAN,Q9UHG3,12,13,1
sp|Q9UM00|TMCO1_HUMAN,Q9UM00,4,5,1
sp|Q9UNK0|STX8_HUMAN,Q9UNK0,3,4,1
sp|Q9Y296|TPPC4_HUMAN,Q9Y296,3,4,1
sp|Q9Y305|ACOT9_HUMAN,Q9Y305,13,14,1
sp|Q9Y697|NFS1_HUMAN,Q9Y697,2,3,1
sp|Q9Y6M7|S4A7_HUMAN,Q9Y6M7,3,4,1
sp|O75844|FACE1_HUMAN,O75844,2,3,1
sp|O95169|NDUB8_HUMAN,O95169,1,2,1
sp|Q02127|PYRD_HUMAN,Q02127,2,3,1
sp|Q13131|AAPK1_HUMAN,Q13131,2,3,1
sp|Q13895|BYST_HUMAN,Q13895,2,3,1
sp|Q14318|FKBP8_HUMAN,Q14318,1,2,1
sp|Q5VWZ2|LYPL1_HUMAN,Q5VWZ2,2,3,1
sp|Q92930|RAB8B_HUMAN,Q92930,1,2,1
sp|Q96RQ1|ERGI2_HUMAN,Q96RQ1,2,3,1
sp|Q96S52|PIGS_HUMAN,Q96S52,2,3,1
sp|Q9H0V9|LMA2L_HUMAN,Q9H0V9,2,3,1
sp|Q9NQ84|GPC5C_HUMAN,Q9NQ84,1,2,1
sp|Q9NTX5|ECHD1_HUMAN,Q9NTX5,1,2,1
sp|Q9UDW1|QCR9_HUMAN,Q9UDW1,2,3,1
sp|Q49A26|GLYR1_HUMAN,Q49A26,2,3,1
sp|Q99567|NUP88_HUMAN,Q99567,2,3,1
sp|Q9BVJ7|DUS23_HUMAN,Q9BVJ7,2,3,1
sp|P62745|RHOB_HUMAN,P62745,1,2,1
sp|Q5T653|RM02_HUMAN,Q5T653,2,3,1
sp|Q9HCN8|SDF2L_HUMAN,Q9HCN8,2,3,1
sp|P61224|RAP1B_HUMAN,P61224,6,7,1
sp|Q96TA2|YMEL1_HUMAN,Q96TA2,2,3,1
sp|P61421|VA0D1_HUMAN,P61421,3,4,1
sp|P53680|AP2S1_HUMAN,P53680,1,2,1
sp|Q10588|BST1_HUMAN,Q10588,1,2,1
sp|Q9H3K2|GHITM_HUMAN,Q9H3K2,1,2,1
sp|Q7Z7F7|RM55_HUMAN,Q7Z7F7,2,3,1
sp|Q8NFH4|NUP37_HUMAN,Q8NFH4,1,2,1
sp|Q05519|SRS11_HUMAN,Q05519,2,3,1
sp|Q8WUH6|TM263_HUMAN,Q8WUH6,1,2,1
sp|P08582|TRFM_HUMAN,P08582,2,3,1
sp|Q9HBH5|RDH14_HUMAN,Q9HBH5,2,3,1
sp|O75911|DHRS3_HUMAN,O75911,2,3,1
sp|P62877|RBX1_HUMAN,P62877,1,2,1
sp|Q9Y291|RT33_HUMAN,Q9Y291,1,2,1
sp|P18615|NELFE_HUMAN,P18615,1,2,1
sp|P09038|FGF2_HUMAN,P09038,1,2,1
sp|Q9Y2R5|RT17_HUMAN,Q9Y2R5,1,2,1
sp|Q9Y2P8|RCL1_HUMAN,Q9Y2P8,2,3,1
sp|Q6VY07|PACS1_HUMAN,Q6VY07,1,2,1
sp|P13473|LAMP2_HUMAN,P13473,1,2,1
sp|Q9H078|CLPB_HUMAN,Q9H078,1,2,1
sp|P11234|RALB_HUMAN,P11234,1,2,1
sp|O14657|TOR1B_HUMAN,O14657,1,2,1
sp|P61077|UB2D3_HUMAN,P61077,1,2,1
sp|O15160|RPAC1_HUMAN,O15160,1,2,1
sp|P19387|RPB3_HUMAN,P19387,1,2,1
sp|P45877|PPIC_HUMAN,P45877,1,2,1
sp|Q86Y39|NDUAB_HUMAN,Q86Y39,1,2,1
sp|P11908|PRPS2_HUMAN,P11908,1,2,1
sp|Q8N2F6|ARM10_HUMAN,Q8N2F6,1,2,1
sp|O75607|NPM3_HUMAN,O75607,1,2,1
sp|Q13641|TPBG_HUMAN,Q13641,2,3,1
sp|Q8N4V1|EMC5_HUMAN,Q8N4V1,1,2,1
sp|Q8WWV3|RT4I1_HUMAN,Q8WWV3,1,2,1
sp|Q9BRQ6|MIC25_HUMAN,Q9BRQ6,1,2,1
sp|Q9HCU5|PREB_HUMAN,Q9HCU5,1,2,1
sp|Q9UHQ9|NB5R1_HUMAN,Q9UHQ9,1,2,1
sp|Q9P2X0|DPM3_HUMAN,Q9P2X0,1,2,1
sp|Q15006|EMC2_HUMAN,Q15006,1,2,1
sp|Q6L8Q7|PDE12_HUMAN,Q6L8Q7,1,2,1
sp|O15235|RT12_HUMAN,O15235,1,2,1
sp|Q13410|BT1A1_HUMAN,Q13410,1,2,1
sp|Q9Y3Y2|CHTOP_HUMAN,Q9Y3Y2,1,2,1
sp|Q15582|BGH3_HUMAN,Q15582,1,2,1
sp|P28907|CD38_HUMAN,P28907,2,3,1
sp|Q8NDH3|PEPL1_HUMAN,Q8NDH3,1,2,1
sp|Q9H6F5|CCD86_HUMAN,Q9H6F5,1,2,1
sp|Q6P6C2|ALKB5_HUMAN,Q6P6C2,1,2,1
sp|Q9P003|CNIH4_HUMAN,Q9P003,1,2,1
sp|P20962|PTMS_HUMAN,P20962,2,3,1
sp|O15120|PLCB_HUMAN,O15120,1,2,1
sp|P61966|AP1S1_HUMAN,P61966,1,2,1
sp|O60888|CUTA_HUMAN,O60888,1,2,1
sp|O75718|CRTAP_HUMAN,O75718,1,2,1
sp|Q96A35|RM24_HUMAN,Q96A35,1,2,1
sp|P38432|COIL_HUMAN,P38432,1,2,1
sp|O43402|EMC8_HUMAN,O43402,1,2,1
sp|Q53S08|RAB6D_HUMAN,Q53S08,1,2,1
sp|O43159|RRP8_HUMAN,O43159,1,2,1
sp|Q6P1L8|RM14_HUMAN,Q6P1L8,1,2,1
sp|Q6IN84|MRM1_HUMAN,Q6IN84,1,2,1
sp|Q9BWS9|CHID1_HUMAN,Q9BWS9,1,2,1
sp|Q03405|UPAR_HUMAN,Q03405,1,2,1
sp|P61964|WDR5_HUMAN,P61964,1,2,1
sp|Q9HC36|MRM3_HUMAN,Q9HC36,1,2,1
sp|Q6UWP7|LCLT1_HUMAN,Q6UWP7,1,2,1
sp|Q96BI1|S22AI_HUMAN,Q96BI1,1,2,1
sp|Q8WY22|BRI3B_HUMAN,Q8WY22,1,2,1
sp|Q9ULX3|NOB1_HUMAN,Q9ULX3,1,2,1
sp|Q9NRW3|ABC3C_HUMAN,Q9NRW3,1,2,1
sp|Q7Z478|DHX29_HUMAN,Q7Z478,1,2,1
sp|Q9H1C7|CYTM1_HUMAN,Q9H1C7,1,2,1
sp|Q16637|SMN_HUMAN,Q16637,1,2,1
sp|Q13454|TUSC3_HUMAN,Q13454,0,1,1
sp|Q8IY17|PLPL6_HUMAN,Q8IY17,0,1,1
sp|Q9Y666|S12A7_HUMAN,Q9Y666,0,1,1
sp|O15091|MRPP3_HUMAN,O15091,0,1,1
sp|P22033|MUTA_HUMAN,P22033,0,1,1
sp|P31483|TIA1_HUMAN,P31483,0,1,1
sp|Q8WW59|SPRY4_HUMAN,Q8WW59,0,1,1
sp|Q9H8S9|MOB1A_HUMAN,Q9H8S9,0,1,1
sp|Q9Y5P6|GMPPB_HUMAN,Q9Y5P6,0,1,1
sp|P24557|THAS_HUMAN,P24557,0,1,1
sp|Q14534|ERG1_HUMAN,Q14534,0,1,1
sp|Q99575|POP1_HUMAN,Q99575,0,1,1
sp|Q9BQ69|MACD1_HUMAN,Q9BQ69,0,1,1
sp|P52758|RIDA_HUMAN,P52758,0,1,1
sp|P98088|MUC5A_HUMAN,P98088,0,1,1
sp|Q12888|TP53B_HUMAN,Q12888,0,1,1
sp|Q13825|AUHM_HUMAN,Q13825,0,1,1
sp|Q8N6R0|EFNMT_HUMAN,Q8N6R0,0,1,1
sp|P11217|PYGM_HUMAN,P11217,0,1,1
sp|Q86UL3|GPAT4_HUMAN,Q86UL3,0,1,1
sp|A6NNZ2|TBB8B_HUMAN,A6NNZ2,0,1,1
sp|Q8N9T8|KRI1_HUMAN,Q8N9T8,0,1,1
sp|Q8NF37|PCAT1_HUMAN,Q8NF37,0,1,1
sp|Q8NFF5|FAD1_HUMAN,Q8NFF5,0,1,1
sp|Q93084|AT2A3_HUMAN,Q93084,0,1,1
sp|P42263|GRIA3_HUMAN,P42263,0,1,1
sp|Q96SB4|SRPK1_HUMAN,Q96SB4,0,1,1
sp|P34931|HS71L_HUMAN,P34931,0,1,1
sp|P82675|RT05_HUMAN,P82675,0,1,1
sp|Q03001|DYST_HUMAN,Q03001,0,1,1
sp|Q14C86|GAPD1_HUMAN,Q14C86,0,1,1
sp|O00142|KITM_HUMAN,O00142,0,1,1
sp|P02538|K2C6A_HUMAN,P02538,0,1,1
sp|P13647|K2C5_HUMAN,P13647,0,1,1
sp|Q86U28|ISCA2_HUMAN,Q86U28,0,1,1
sp|Q5SY16|NOL9_HUMAN,Q5SY16,0,1,1
sp|Q5T440|CAF17_HUMAN,Q5T440,0,1,1
sp|P29992|GNA11_HUMAN,P29992,0,1,1
sp|O43252|PAPS1_HUMAN,O43252,0,1,1
sp|Q9UKL3|C8AP2_HUMAN,Q9UKL3,0,1,1
sp|Q7Z460|CLAP1_HUMAN,Q7Z460,0,1,1
sp|Q6P1M3|L2GL2_HUMAN,Q6P1M3,0,1,1
sp|P21127|CD11B_HUMAN,P21127,0,1,1
sp|Q9H9Y2|RPF1_HUMAN,Q9H9Y2,0,1,1
sp|Q9Y2L1|RRP44_HUMAN,Q9Y2L1,0,1,1
sp|Q9NZJ7|MTCH1_HUMAN,Q9NZJ7,0,1,1
sp|Q9NVS2|RT18A_HUMAN,Q9NVS2,0,1,1
sp|Q16352|AINX_HUMAN,Q16352,0,1,1
sp|P31749|AKT1_HUMAN,P31749,0,1,1
sp|Q9ULU4|PKCB1_HUMAN,Q9ULU4,0,1,1
sp|Q5VW38|GP107_HUMAN,Q5VW38,0,1,1
sp|Q6P9B6|MEAK7_HUMAN,Q6P9B6,0,1,1
sp|Q9BW60|ELOV1_HUMAN,Q9BW60,0,1,1
sp|Q9NRG7|D39U1_HUMAN,Q9NRG7,0,1,1
sp|Q9NZE8|RM35_HUMAN,Q9NZE8,0,1,1
sp|P78386|KRT85_HUMAN,P78386,0,1,1
sp|Q96B23|CR025_HUMAN,Q96B23,0,1,1
sp|Q8WUA4|TF3C2_HUMAN,Q8WUA4,0,1,1
sp|P51608|MECP2_HUMAN,P51608,0,1,1
sp|Q9HB90|RRAGC_HUMAN,Q9HB90,0,1,1
sp|Q96CU9|FXRD1_HUMAN,Q96CU9,0,1,1
sp|O75683|SURF6_HUMAN,O75683,0,1,1
sp|Q08AF3|SLFN5_HUMAN,Q08AF3,0,1,1
sp|Q32P41|TRM5_HUMAN,Q32P41,0,1,1
sp|Q6ZMG9|CERS6_HUMAN,Q6ZMG9,0,1,1
sp|Q13769|THOC5_HUMAN,Q13769,0,1,1
sp|Q14997|PSME4_HUMAN,Q14997,0,1,1
sp|P10586|PTPRF_HUMAN,P10586,0,1,1
sp|Q9NX47|MARH5_HUMAN,Q9NX47,0,1,1
sp|P54619|AAKG1_HUMAN,P54619,0,1,1
sp|P22309|UD11_HUMAN,P22309,0,1,1
sp|Q9Y6Z5|AFDDT_HUMAN,Q9Y6Z5,0,1,1
sp|O95716|RAB3D_HUMAN,O95716,0,1,1
sp|P35527|K1C9_HUMAN,P35527,0,1,1
sp|Q9H553|ALG2_HUMAN,Q9H553,0,1,1
sp|Q9NZM5|NOP53_HUMAN,Q9NZM5,0,1,1
sp|Q6ZUA9|MROH5_HUMAN,Q6ZUA9,0,1,1
sp|P42229|STA5A_HUMAN,P42229,0,1,1
sp|P20338|RAB4A_HUMAN,P20338,0,1,1
sp|Q8WVX9|FACR1_HUMAN,Q8WVX9,0,1,1
sp|Q96SB8|SMC6_HUMAN,Q96SB8,0,1,1
sp|Q9NRX1|PNO1_HUMAN,Q9NRX1,0,1,1
sp|Q9NZJ6|COQ3_HUMAN,Q9NZJ6,0,1,1
sp|Q96D46|NMD3_HUMAN,Q96D46,0,1,1
sp|P28062|PSB8_HUMAN,P28062,0,1,1
sp|Q13427|PPIG_HUMAN,Q13427,0,1,1
sp|Q9BQB6|VKOR1_HUMAN,Q9BQB6,0,1,1
sp|P03891|NU2M_HUMAN,P03891,0,1,1
sp|Q6IAN0|DRS7B_HUMAN,Q6IAN0,0,1,1
sp|Q9H2D6|TARA_HUMAN,Q9H2D6,0,1,1
sp|P98173|FAM3A_HUMAN,P98173,0,1,1
sp|Q5U5X0|LYRM7_HUMAN,Q5U5X0,0,1,1
sp|O95219|SNX4_HUMAN,O95219,0,1,1
sp|P25490|TYY1_HUMAN,P25490,0,1,1
sp|P61812|TGFB2_HUMAN,P61812,0,1,1
sp|Q8ND76|CCNY_HUMAN,Q8ND76,0,1,1
sp|Q96B26|EXOS8_HUMAN,Q96B26,0,1,1
sp|O95810|CAVN2_HUMAN,O95810,0,1,1
sp|P18433|PTPRA_HUMAN,P18433,0,1,1
sp|Q99986|VRK1_HUMAN,Q99986,0,1,1
sp|O00400|ACATN_HUMAN,O00400,0,1,1
sp|O00622|CCN1_HUMAN,O00622,0,1,1
sp|O60427|FADS1_HUMAN,O60427,0,1,1
sp|O60907|TBL1X_HUMAN,O60907,0,1,1
sp|P51688|SPHM_HUMAN,P51688,0,1,1
sp|Q9Y580|RBM7_HUMAN,Q9Y580,0,1,1
sp|Q96Q45|TM237_HUMAN,Q96Q45,0,1,1
sp|P22079|PERL_HUMAN,P22079,0,1,1
sp|Q13043|STK4_HUMAN,Q13043,0,1,1
sp|Q6Y1H2|HACD2_HUMAN,Q6Y1H2,0,1,1
sp|Q5TEU4|NDUF5_HUMAN,Q5TEU4,0,1,1
sp|Q9Y613|FHOD1_HUMAN,Q9Y613,0,1,1
sp|Q9P0S9|TM14C_HUMAN,Q9P0S9,0,1,1
sp|P21579|SYT1_HUMAN,P21579,0,1,1
sp|Q9UJX6|ANC2_HUMAN,Q9UJX6,0,1,1
sp|Q6ZN18|AEBP2_HUMAN,Q6ZN18,0,1,1
sp|O95479|G6PE_HUMAN,O95479,0,1,1
sp|Q9UI10|EI2BD_HUMAN,Q9UI10,0,1,1
sp|Q2T9J0|TYSD1_HUMAN,Q2T9J0,0,1,1
sp|Q9Y5K8|VATD_HUMAN,Q9Y5K8,0,1,1
sp|Q8TDX6|CGAT1_HUMAN,Q8TDX6,0,1,1
sp|Q96AA3|RFT1_HUMAN,Q96AA3,0,1,1
sp|O15162|PLS1_HUMAN,O15162,0,1,1
sp|Q9BVV7|TIM21_HUMAN,Q9BVV7,0,1,1
sp|Q13438|OS9_HUMAN,Q13438,0,1,1
sp|Q69YN2|C19L1_HUMAN,Q69YN2,0,1,1
sp|P02765|FETUA_HUMAN,P02765,0,1,1
sp|P38435|VKGC_HUMAN,P38435,0,1,1
sp|O95376|ARI2_HUMAN,O95376,0,1,1
sp|P82912|RT11_HUMAN,P82912,0,1,1
sp|Q9UJW0|DCTN4_HUMAN,Q9UJW0,0,1,1
sp|Q8NBU5|ATAD1_HUMAN,Q8NBU5,0,1,1
sp|Q12899|TRI26_HUMAN,Q12899,0,1,1
sp|Q15750|TAB1_HUMAN,Q15750,0,1,1
sp|P51965|UB2E1_HUMAN,P51965,0,1,1
sp|P58557|YBEY_HUMAN,P58557,0,1,1
sp|Q8TBQ9|KISHA_HUMAN,Q8TBQ9,0,1,1
sp|Q16854|DGUOK_HUMAN,Q16854,0,1,1
sp|P00846|ATP6_HUMAN,P00846,0,1,1
sp|Q9BRR3|PGAP4_HUMAN,Q9BRR3,0,1,1
sp|Q96G23|CERS2_HUMAN,Q96G23,0,1,1
sp|Q587I9|SFT2C_HUMAN,Q587I9,0,1,1
sp|O15321|TM9S1_HUMAN,O15321,0,1,1
sp|Q8N5F7|NKAP_HUMAN,Q8N5F7,0,1,1
