file	sample	sample_name	sex	treatment	condition	replicate
f_control_1	f_control_1	f_control_1	female	control	female_cont	1
f_control_2	f_control_2	f_control_2	female	control	female_cont	2
f_control_3	f_control_3	f_control_3	female	control	female_cont	3
f_wvirus_1	f_wvirus_1	f_wvirus_1	female	virus	female_virus	1
f_wvirus_2	f_wvirus_2	f_wvirus_2	female	virus	female_virus	2
f_wvirus_3	f_wvirus_3	f_wvirus_3	female	virus	female_virus	3
m_control_1	m_control_1	m_control_1	male	control	male_cont	1
m_control_2	m_control_2	m_control_2	male	control	male_cont	2
m_control_3	m_control_3	m_control_3	male	control	male_cont	3
m_wvirus_1	m_wvirus_1	m_wvirus_1	male	virus	male_virus	1
m_wvirus_2	m_wvirus_2	m_wvirus_2	male	virus	male_virus	2
m_wvirus_3	m_wvirus_3	m_wvirus_3	male	virus	male_virus	3