file	sample	condition	replicate	sample_name
D:\Data\Lucy\20230925_229E-astro\data\215_LucyC_6hpi1_100ng.raw	215_LucyC_6hpi1_100ng	215_LucyC_6hpi1_100ng	1	6hpi1
D:\Data\Lucy\20230925_229E-astro\data\216_LucyC_6hpi2_100ng.raw	216_LucyC_6hpi2_100ng	216_LucyC_6hpi2_100ng	2	6hpi2
D:\Data\Lucy\20230925_229E-astro\data\217_LucyC_6hpi3_100ng.raw	217_LucyC_6hpi3_100ng	217_LucyC_6hpi3_100ng	3	6hpi3
D:\Data\Lucy\20230925_229E-astro\data\218_LucyC_12hpi1_100ng.raw	218_LucyC_12hpi1_100ng	218_LucyC_12hpi1_100ng	1	12hpi1
D:\Data\Lucy\20230925_229E-astro\data\220_LucyC_12hpi2_100ng.raw	220_LucyC_12hpi2_100ng	220_LucyC_12hpi2_100ng	2	12hpi2
D:\Data\Lucy\20230925_229E-astro\data\221_LucyC_12hpi3_100ng.raw	221_LucyC_12hpi3_100ng	221_LucyC_12hpi3_100ng	3	12hpi3
D:\Data\Lucy\20230925_229E-astro\data\223_LucyC_24hpi1_100ng.raw	223_LucyC_24hpi1_100ng	223_LucyC_24hpi1_100ng	1	24hpi1
D:\Data\Lucy\20230925_229E-astro\data\224_LucyC_24hpi2_100ng.raw	224_LucyC_24hpi2_100ng	234_LucyC_24hpi2_100ng	2	24hpi2
D:\Data\Lucy\20230925_229E-astro\data\225_LucyC_24hpi3_100ng.raw	225_LucyC_24hpi3_100ng	225_LucyC_24hpi3_100ng	3	24hpi3
D:\Data\Lucy\20230925_229E-astro\data\227_LucyC_48hpi1_100ng.raw	227_LucyC_48hpi1_100ng	227_LucyC_48hpi1_100ng	1	48hpi1
D:\Data\Lucy\20230925_229E-astro\data\228_LucyC_48hpi2_100ng.raw	228_LucyC_48hpi2_100ng	228_LucyC_48hpi2_100ng	2	48hpi2
D:\Data\Lucy\20230925_229E-astro\data\229_LucyC_48hpi3_100ng.raw	229_LucyC_48hpi3_100ng	229_LucyC_48hpi3_100ng	3	48hpi3
D:\Data\Lucy\20230925_229E-astro\data\231_LucyC_96hpi1_100ng.raw	231_LucyC_96hpi1_100ng	231_LucyC_96hpi1_100ng	1	96hpi1
D:\Data\Lucy\20230925_229E-astro\data\232_LucyC_96hpi2_100ng.raw	232_LucyC_96hpi2_100ng	232_LucyC_96hpi2_100ng	2	96hpi2
D:\Data\Lucy\20230925_229E-astro\data\234_LucyC_m12_100ng.raw	234_LucyC_m12_100ng	234_LucyC_m12_100ng	1	mock12
D:\Data\Lucy\20230925_229E-astro\data\235_LucyC_m24_100ng.raw	235_LucyC_m24_100ng	235_LucyC_m24_100ng	2	mock24
D:\Data\Lucy\20230925_229E-astro\data\236_LucyC_m48_100ng.raw	236_LucyC_m48_100ng	236_LucyC_m48_100ng	3	mock48