file	sample	sample_name	condition	replicate
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	astro_1	astro_1	astro	1
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	astro_2	astro_2	astro	2
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	astro_3	astro_3	astro	3
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	astro_4	astro_4	astro	4
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	astro_5	astro_5	astro	5
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	astro_6	astro_6	astro	6
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	astro_7	astro_7	astro	7
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	astro_8	astro_8	astro	8
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	astro_9	astro_9	astro	9
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	astro_10	astro_10	astro	10
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	astro_11	astro_11	astro	11
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	astro_12	astro_12	astro	12
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	astro_13	astro_13	astro	13
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	astro_14	astro_14	astro	14
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	astro_15	astro_15	astro	15
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	astro_16	astro_16	astro	16
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	astro_17	astro_17	astro	17
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	astro_18	astro_18	astro	18
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	astro_19	astro_19	astro	19
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	astro_20	astro_20	astro	20
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	astro_21	astro_21	astro	21
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	astro_22	astro_22	astro	22
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	astro_23	astro_23	astro	23
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	astro_24	astro_24	astro	24
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	astro_25	astro_25	astro	25
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	astro_26	astro_26	astro	26
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	astro_27	astro_27	astro	27
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	astro_28	astro_28	astro	28
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	astro_29	astro_29	astro	29
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	astro_30	astro_30	astro	30
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	astro_31	astro_31	astro	31
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	astro_32	astro_32	astro	32
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-85_3776.d	astro_33	astro_33	astro	33
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	astro_34	astro_34	astro	34
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	astro_35	astro_35	astro	35
E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d	astro_36	astro_36	astro	36